ID	GCF_000279165.1_ASM27916v1_genomic.fna	GCF_000327065.1_ASM32706v1_genomic.fna	GCF_000219605.1_ASM21960v1_genomic.fna	GCF_000267545.1_ASM26754v1_genomic.fna	GCF_001038645.1_ASM103864v1_genomic.fna	GCF_000195105.1_ASM19510v1_genomic.fna	GCF_000013785.1_ASM1378v1_genomic.fna	GCF_000661915.1_ASM66191v1_genomic.fna	SAMD00059319_PSCT_BDJA01_FF.fna	GCF_000590475.1_ASM59047v1_genomic.fna	GCF_000016565.1_ASM1656v1_genomic.fna	GCF_001648195.1_ASM164819v1_genomic.fna	GCF_000818015.1_ASM81801v1_genomic.fna
PSCT_00021	0	0	0	0	0	1	1	0	1	0	0	0	0
PSCT_00022	1	2	2	2	2	2	2	2	2	1	1	3	2
PSCT_00023	1	0	1	0	1	1	1	1	1	0	1	0	0
PSCT_00024	5	1	8	11	0	11	0	3	4	0	0	4	1
PSCT_00025	0	0	0	0	0	0	1	0	1	0	0	0	0
PSCT_00026	0	0	0	0	0	0	1	0	1	0	0	0	0
PSCT_00027	0	0	6	0	0	0	2	0	1	0	0	0	0
PSCT_00028	0	0	6	0	0	0	2	0	1	0	0	0	0
PSCT_00029	0	0	0	1	0	0	0	0	1	0	0	0	0
PSCT_00030	0	0	0	1	0	0	0	0	1	0	0	0	0
PSCT_00031	0	0	0	1	0	0	0	0	1	0	0	0	0
PSCT_00032	0	0	0	1	0	0	0	0	1	0	0	0	0
PSCT_00033	0	0	0	1	0	0	0	0	1	0	0	0	0
PSCT_00034	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00035	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00036	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00037	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00038	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00039	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00040	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00041	1	1	1	1	1	1	1	1	1	0	0	1	1
PSCT_00042	1	1	1	1	1	1	1	1	1	0	0	1	1
PSCT_00043	1	1	1	1	1	1	1	1	1	0	1	1	1
PSCT_00044	1	1	1	1	1	1	1	1	1	0	1	1	1
PSCT_00045	1	1	1	1	1	1	1	1	1	0	0	1	1
PSCT_00046	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00047	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00048	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00049	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00050	0	1	0	0	0	0	0	1	1	0	0	0	0
PSCT_00051	0	1	1	0	1	1	1	1	1	0	0	0	0
PSCT_00052	0	1	1	0	1	1	1	1	1	0	0	0	0
PSCT_00053	0	1	1	0	1	1	1	1	1	0	0	0	0
PSCT_00054	0	1	1	0	1	1	1	1	1	0	0	0	0
PSCT_00055	0	1	1	0	1	1	1	1	1	0	0	0	0
PSCT_00056	0	1	1	0	1	1	1	1	1	0	0	0	0
PSCT_00057	1	1	1	1	0	1	1	1	1	1	1	1	1
PSCT_00058	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00059	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00060	1	1	1	1	1	1	1	1	1	1	1	1	0
PSCT_00061	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00062	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00063	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00064	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00065	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00066	2	2	2	2	2	2	2	2	2	2	1	2	2
PSCT_00067	0	1	1	1	1	1	1	1	1	0	0	0	0
PSCT_00068	1	1	1	1	1	1	1	1	1	1	0	1	1
PSCT_00069	1	1	1	1	1	1	1	1	1	1	0	1	1
PSCT_00070	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00071	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00072	1	1	1	1	1	1	1	1	1	1	0	1	1
PSCT_00073	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00074	0	1	1	1	1	1	1	1	1	1	0	1	0
PSCT_00075	1	1	1	1	1	1	1	1	1	0	0	0	1
PSCT_00076	1	1	1	1	1	1	1	1	1	1	0	1	1
PSCT_00077	1	1	1	1	1	1	1	1	1	1	0	1	1
PSCT_00078	1	1	1	1	1	1	1	1	1	1	0	1	1
PSCT_00079	1	1	1	1	1	1	1	1	1	1	0	1	1
PSCT_00080	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00081	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00082	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00083	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00084	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00085	1	1	1	1	1	1	1	1	1	0	1	1	1
PSCT_00086	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00087	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00088	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00089	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00090	0	1	1	1	1	1	1	1	1	0	0	0	0
PSCT_00091	0	1	1	1	1	1	1	1	1	0	0	0	0
PSCT_00092	1	1	1	1	1	1	1	1	1	1	0	1	1
PSCT_00093	0	1	0	1	0	1	1	1	1	0	0	0	0
PSCT_00094	0	1	1	1	1	1	1	1	1	0	0	0	1
PSCT_00095	0	1	1	1	1	1	1	1	1	0	0	0	1
PSCT_00096	0	1	1	0	1	1	1	1	1	0	0	0	0
PSCT_00097	1	1	1	1	1	1	1	1	1	1	0	1	0
PSCT_00098	0	1	1	1	1	1	1	1	1	0	0	0	0
PSCT_00099	1	1	1	1	1	1	1	1	1	1	0	1	1
PSCT_00100	1	1	1	1	1	1	1	1	1	0	0	0	1
PSCT_00101	0	1	0	1	1	1	0	1	1	0	0	0	0
PSCT_00102	0	1	1	1	1	1	1	1	1	0	1	0	1
PSCT_00103	0	1	1	1	1	1	1	1	1	0	0	1	1
PSCT_00104	0	0	0	0	0	0	0	0	1	0	0	0	0
PSCT_00105	0	0	0	0	0	0	0	0	1	0	0	0	0
PSCT_00106	0	0	0	0	0	0	0	0	1	0	0	0	0
PSCT_00107	0	1	0	0	0	1	1	0	1	0	0	1	0
PSCT_00108	1	1	1	1	1	1	1	1	1	1	1	1	0
PSCT_00109	0	1	0	0	0	0	0	1	1	0	0	0	0
PSCT_00110	1	1	1	1	1	1	1	1	1	0	0	0	0
PSCT_00111	1	1	1	1	1	1	1	1	1	1	0	0	0
PSCT_00112	0	1	0	0	0	0	0	0	1	0	0	0	0
PSCT_00113	1	1	1	1	1	1	1	1	1	0	0	0	0
PSCT_00114	0	1	0	1	0	0	0	1	1	0	0	0	0
PSCT_00115	1	1	1	1	1	1	1	1	1	0	0	0	0
PSCT_00116	1	1	1	1	1	1	1	1	1	1	0	1	1
PSCT_00117	0	0	0	1	0	0	0	1	1	0	0	0	1
PSCT_00118	0	0	0	1	0	0	0	1	1	0	0	0	1
PSCT_00119	0	1	0	1	0	0	0	1	1	0	0	0	1
PSCT_00120	0	1	0	1	0	0	0	1	1	0	0	0	1
PSCT_00121	0	1	0	1	0	0	0	1	1	1	0	0	0
PSCT_00122	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00123	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00124	1	1	1	1	1	1	1	1	1	1	0	1	1
PSCT_00125	0	1	0	0	0	0	0	0	1	1	0	1	0
PSCT_00126	0	1	0	1	0	0	0	0	1	0	0	0	0
PSCT_00127	0	1	0	0	0	0	0	0	1	0	0	0	0
PSCT_00128	0	1	0	0	0	0	0	0	1	0	0	0	0
PSCT_00129	1	1	1	1	1	1	1	1	1	1	0	1	1
PSCT_00130	1	1	1	1	1	1	1	1	1	1	0	1	1
PSCT_00131	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00132	1	1	1	1	1	1	1	1	1	1	0	1	0
PSCT_00133	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00134	1	1	1	1	1	1	1	1	1	1	0	0	0
PSCT_00135	1	1	1	1	1	1	1	1	1	1	0	1	1
PSCT_00136	0	1	0	1	1	1	1	1	1	1	0	1	0
PSCT_00137	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00138	1	1	1	1	1	0	1	1	1	1	0	1	0
PSCT_00139	0	1	1	1	1	1	1	1	1	0	0	0	0
PSCT_00140	1	1	1	1	1	1	1	1	1	0	0	0	0
PSCT_00141	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00142	1	1	1	1	1	1	1	1	1	1	0	1	1
PSCT_00143	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00144	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00145	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00146	0	1	0	1	0	0	0	1	1	0	0	0	0
PSCT_00147	1	1	1	1	1	1	1	1	1	1	0	1	0
PSCT_00148	0	1	0	1	0	0	0	1	1	0	0	0	0
PSCT_00149	0	1	1	1	1	1	1	1	1	0	0	0	1
PSCT_00150	0	1	0	1	0	0	0	1	1	0	1	1	0
PSCT_00151	0	1	0	1	0	0	0	1	1	0	1	1	0
PSCT_00152	0	1	0	1	0	0	0	1	1	0	1	1	0
PSCT_00153	0	1	0	1	0	0	0	1	1	0	1	1	0
PSCT_00154	0	1	0	1	0	0	0	1	1	0	1	1	0
PSCT_00155	0	1	0	1	0	0	0	1	1	0	0	0	0
PSCT_00156	0	1	0	1	0	0	0	1	1	0	0	0	0
PSCT_00157	0	1	0	1	0	0	0	1	1	0	0	0	0
PSCT_00158	0	1	0	1	0	0	0	1	1	0	1	1	0
PSCT_00159	0	1	0	1	0	0	0	1	1	0	1	0	0
PSCT_00160	0	1	0	1	0	0	0	1	1	0	1	1	0
PSCT_00161	1	1	1	1	1	1	1	1	1	1	0	1	1
PSCT_00162	1	1	1	1	1	1	1	1	1	1	0	1	1
PSCT_00163	1	1	1	1	1	1	1	1	1	1	0	1	1
PSCT_00164	1	1	1	1	1	1	1	1	1	1	0	1	1
PSCT_00165	1	1	1	1	1	1	1	1	1	1	0	1	1
PSCT_00166	1	1	1	1	1	1	1	1	1	1	0	1	1
PSCT_00167	0	1	1	1	1	1	1	1	1	0	0	0	1
PSCT_00168	1	1	1	1	1	1	1	1	1	1	0	1	1
PSCT_00169	1	1	1	1	1	1	1	1	1	0	0	1	1
PSCT_00170	1	1	1	1	1	1	1	1	1	0	0	1	1
PSCT_00171	1	1	1	1	1	1	1	1	1	1	0	1	1
PSCT_00172	1	1	1	1	1	1	1	1	1	1	0	1	1
PSCT_00173	0	1	0	1	0	0	0	0	1	0	0	0	0
PSCT_00174	0	1	0	1	0	0	0	0	1	0	0	0	0
PSCT_00175	0	1	0	1	0	0	0	0	1	1	0	1	0
PSCT_00176	0	1	0	1	0	0	0	0	1	0	0	0	0
PSCT_00177	0	1	0	1	0	0	0	0	1	0	0	0	0
PSCT_00178	0	1	0	1	0	0	0	0	1	0	0	0	0
PSCT_00179	0	1	1	1	1	1	1	1	1	0	0	0	0
PSCT_00180	0	1	0	0	0	0	0	0	1	0	0	0	0
PSCT_00181	0	1	1	0	0	0	0	1	1	0	0	0	0
PSCT_00182	0	1	1	0	0	0	0	1	1	0	0	0	0
PSCT_00183	1	3	3	3	2	1	0	3	3	2	0	2	3
PSCT_00184	1	1	1	1	1	0	0	1	1	0	1	0	0
PSCT_00185	1	1	1	1	1	0	0	1	1	1	1	1	1
PSCT_00186	1	1	1	1	1	0	0	1	1	1	1	1	1
PSCT_00187	1	1	1	1	1	0	0	1	1	1	1	1	1
PSCT_00188	0	1	1	1	0	0	0	0	1	0	0	0	0
PSCT_00189	0	0	1	0	0	0	0	0	1	0	0	0	0
PSCT_00190	0	1	1	0	0	0	0	0	1	0	0	0	0
PSCT_00191	1	1	1	1	1	0	0	1	1	1	1	1	1
PSCT_00192	1	1	1	1	1	0	0	1	1	1	1	1	1
PSCT_00193	1	1	1	1	1	0	0	1	1	1	1	1	1
PSCT_00194	0	1	1	1	1	0	0	1	1	0	0	0	0
PSCT_00195	0	1	1	1	1	1	1	1	1	0	0	0	0
PSCT_00196	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00197	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00198	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00199	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00200	1	1	0	1	1	1	1	1	1	1	0	1	1
PSCT_00201	0	1	1	0	1	1	1	0	1	0	0	0	0
PSCT_00202	0	1	1	1	1	1	1	1	1	0	0	0	0
PSCT_00203	0	0	0	0	0	0	0	1	1	0	0	0	1
PSCT_00204	0	0	0	0	0	0	0	0	1	0	0	0	1
PSCT_00205	0	0	0	0	1	0	0	1	1	0	0	0	1
PSCT_00206	0	0	0	0	0	0	0	1	1	0	0	0	0
PSCT_00207	0	0	0	0	0	0	0	0	1	0	0	0	0
PSCT_00208	0	0	0	0	0	0	0	0	1	0	0	0	0
PSCT_00209	0	0	0	0	1	0	0	1	1	0	0	0	1
PSCT_00210	0	0	0	0	0	0	0	0	1	0	0	0	0
PSCT_00211	0	0	0	0	1	0	0	1	1	0	0	0	1
PSCT_00213	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00214	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00215	1	1	1	1	1	1	1	1	1	1	0	1	1
PSCT_00216	0	1	1	1	1	1	1	1	1	0	0	0	1
PSCT_00217	0	1	1	1	1	1	1	1	1	0	0	0	0
PSCT_00218	0	1	1	1	1	1	1	1	1	0	0	0	0
PSCT_00219	0	1	1	1	1	1	1	1	1	0	0	0	0
PSCT_00220	0	1	1	1	1	1	1	1	1	0	0	0	0
PSCT_00221	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00222	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00223	1	1	1	1	1	1	1	1	1	1	0	1	1
PSCT_00224	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00225	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00226	0	1	1	1	1	1	1	1	1	0	0	0	1
PSCT_00227	0	1	1	1	1	1	1	1	1	0	0	0	0
PSCT_00228	1	1	1	1	1	1	1	1	1	0	0	0	0
PSCT_00229	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00230	1	1	1	1	1	1	1	1	1	1	0	1	1
PSCT_00231	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00232	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00233	1	1	1	1	1	1	1	1	1	1	0	1	1
PSCT_00234	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00235	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00236	0	1	1	1	1	1	1	1	1	0	0	0	0
PSCT_00237	0	1	1	1	1	1	1	1	1	0	0	1	0
PSCT_00238	0	1	1	1	1	1	1	1	1	0	0	0	0
PSCT_00239	1	1	1	1	1	1	1	1	1	1	0	1	1
PSCT_00240	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00241	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00242	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00243	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00244	1	1	1	1	1	1	1	1	1	1	0	1	1
PSCT_00245	1	1	1	1	1	1	1	1	1	0	0	0	0
PSCT_00246	1	1	1	1	1	1	1	1	1	1	0	1	1
PSCT_00247	1	1	1	1	1	1	1	1	1	1	0	1	1
PSCT_00248	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00249	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00250	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00251	1	1	1	1	1	1	1	1	1	1	0	1	1
PSCT_00252	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00253	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00254	1	1	1	1	1	1	1	1	1	1	0	1	1
PSCT_00255	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00256	0	1	1	1	1	1	1	1	1	0	0	0	0
PSCT_00257	1	1	1	1	1	1	1	1	1	1	0	1	0
PSCT_00258	0	1	1	1	1	1	1	1	1	0	0	0	0
PSCT_00259	1	1	1	1	1	1	1	1	1	1	0	1	1
PSCT_00260	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00261	1	1	1	1	1	1	1	1	1	0	0	0	0
PSCT_00262	0	1	1	1	1	1	1	1	1	0	0	0	0
PSCT_00263	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00264	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00265	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00266	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00267	0	1	1	1	1	1	1	0	1	0	0	1	1
PSCT_00268	0	1	1	1	1	0	1	0	1	0	0	0	1
PSCT_00269	0	1	0	0	1	0	1	0	1	0	0	0	0
PSCT_00270	0	1	1	1	1	0	1	1	1	0	0	0	0
PSCT_00271	1	1	1	1	1	1	1	1	1	1	0	1	1
PSCT_00272	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00273	1	1	1	0	1	1	1	1	1	1	0	1	1
PSCT_00274	0	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00275	0	1	1	1	1	1	1	1	1	1	0	1	1
PSCT_00276	0	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00277	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00278	1	1	1	1	1	1	1	1	1	1	0	1	1
PSCT_00279	0	1	1	1	1	1	1	1	1	0	0	0	0
PSCT_00280	0	1	1	1	1	1	1	1	1	1	0	1	1
PSCT_00281	0	1	1	1	1	1	1	1	1	0	0	1	1
PSCT_00282	0	1	1	1	1	1	1	1	1	1	0	1	1
PSCT_00283	0	1	1	1	1	1	1	1	1	0	0	0	0
PSCT_00284	1	1	1	1	0	1	1	1	1	1	1	1	1
PSCT_00285	0	1	1	1	1	1	1	1	1	0	0	0	0
PSCT_00286	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00287	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00288	1	1	1	1	1	1	1	1	1	1	0	1	1
PSCT_00289	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00290	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00291	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00292	0	1	1	1	1	1	1	1	1	1	0	1	1
PSCT_00293	0	1	1	1	1	1	1	1	1	1	0	1	0
PSCT_00294	1	1	1	1	1	1	1	1	1	0	1	1	1
PSCT_00295	1	1	1	1	1	1	1	1	1	1	0	1	1
PSCT_00296	1	1	1	0	1	1	1	1	1	1	0	1	0
PSCT_00297	1	1	1	1	1	1	1	1	1	1	0	1	1
PSCT_00298	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00299	0	1	1	1	1	1	1	1	1	0	0	0	0
PSCT_00300	0	1	1	1	1	1	1	1	1	1	0	1	0
PSCT_00301	0	1	1	1	1	1	1	1	1	0	0	0	0
PSCT_00302	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00303	0	1	1	1	1	1	1	1	1	0	1	1	0
PSCT_00304	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00305	1	1	1	1	1	1	1	1	1	1	0	1	1
PSCT_00306	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00307	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00308	1	1	1	1	1	1	1	1	1	0	1	0	1
PSCT_00309	1	1	1	1	1	1	1	1	1	0	0	0	1
PSCT_00310	0	1	1	1	1	1	1	1	1	0	0	0	1
PSCT_00311	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00312	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00313	1	1	1	1	1	1	1	1	1	0	1	1	1
PSCT_00314	0	1	1	1	0	1	1	1	1	0	0	0	0
PSCT_00315	1	1	1	1	1	1	1	1	1	0	0	1	1
PSCT_00316	0	1	0	1	1	1	1	1	1	0	0	0	0
PSCT_00317	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00318	0	1	1	1	1	1	1	1	1	0	0	0	0
PSCT_00319	1	1	1	1	1	1	1	1	1	1	0	1	1
PSCT_00320	1	1	1	1	1	1	1	1	1	0	0	1	1
PSCT_00321	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00322	1	1	1	1	1	1	1	1	1	1	0	1	1
PSCT_00323	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00324	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00325	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00326	0	1	1	1	1	1	1	1	1	0	0	0	0
PSCT_00327	0	1	1	1	1	1	1	1	1	0	0	0	0
PSCT_00328	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00329	1	1	1	1	1	1	1	1	1	1	0	1	0
PSCT_00330	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00331	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00332	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00333	1	1	1	1	1	1	1	1	1	1	0	1	1
PSCT_00334	1	1	0	0	1	1	2	2	1	0	1	1	0
PSCT_00335	1	1	0	0	1	1	2	2	1	0	1	1	1
PSCT_00336	1	1	0	0	1	1	2	2	1	0	1	1	1
PSCT_00337	1	1	0	0	1	1	2	2	1	0	1	1	1
PSCT_00338	0	1	0	0	0	0	0	0	1	0	0	0	0
PSCT_00339	0	1	1	1	1	1	1	1	1	1	1	0	0
PSCT_00340	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00341	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00342	1	1	1	1	1	1	1	1	1	1	0	1	1
PSCT_00343	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00344	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00345	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00346	1	1	1	1	1	1	1	1	1	1	0	1	1
PSCT_00347	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00348	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00349	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00350	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00351	0	1	1	1	1	1	1	1	1	0	0	0	0
PSCT_00352	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00353	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00354	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00355	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00356	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00357	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00358	0	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00359	1	1	1	1	1	1	1	1	1	1	0	1	1
PSCT_00360	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00361	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00362	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00363	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00364	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00365	1	1	1	1	1	1	1	1	1	0	0	0	0
PSCT_00366	0	1	0	1	1	1	1	1	1	0	0	0	0
PSCT_00367	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00368	1	1	1	1	1	1	1	1	1	1	0	1	1
PSCT_00369	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00370	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00371	1	1	1	1	1	1	1	1	1	0	0	1	0
PSCT_00372	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00373	1	1	1	1	1	1	1	1	1	0	0	0	1
PSCT_00374	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00375	1	1	1	1	1	1	1	1	1	1	0	1	1
PSCT_00376	1	1	1	1	1	1	1	1	1	0	1	1	1
PSCT_00377	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00378	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00379	0	1	1	1	1	1	1	1	1	0	0	0	0
PSCT_00380	0	1	1	1	1	1	1	1	1	0	0	0	0
PSCT_00381	0	1	1	1	1	1	1	1	1	0	0	0	0
PSCT_00382	0	1	0	1	0	0	0	1	1	0	0	0	0
PSCT_00383	0	1	1	1	1	1	1	1	1	0	0	0	0
PSCT_00384	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00385	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00386	0	1	1	0	0	1	1	1	1	0	0	0	0
PSCT_00387	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00388	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00389	1	1	1	1	1	1	1	1	1	0	0	0	1
PSCT_00390	0	1	1	1	1	1	1	1	1	0	0	0	0
PSCT_00391	0	1	1	1	1	1	1	1	1	1	0	1	0
PSCT_00392	1	1	1	1	1	1	1	1	1	1	1	1	1
PSCT_00393	1	1	1	1	1	1	1	1	1	1	1	1	1
