ID	NC_017532.1.fna	NZ_CP007510.1.fna	NZ_CP007441.1.fna	NZ_CP007511.1.fna	NZ_CP011854.1.fna	NZ_CP015641.1.fna	NC_018028.1.fna	NC_019937.1.fna	NC_009434.1.fna	SAMD00059319_PSCT_BDJA01_FF.fna	NC_015740.1.fna	NC_019938.1.fna	NC_019936.1.fna	NC_019939.1.fna	NC_018177.1.fna	NZ_CP007509.1.fna	NC_009439.1.fna
PSCT_00042	1	0	0	1	1	1	1	0	1	1	1	0	1	0	1	1	0
PSCT_00043	1	0	0	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00044	1	0	0	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00045	1	0	0	1	1	1	1	0	1	1	1	0	1	0	1	1	0
PSCT_00046	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00047	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00048	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00049	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00050	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0
PSCT_00051	1	0	0	0	1	0	0	0	1	1	1	0	1	0	0	1	0
PSCT_00052	1	0	0	0	1	0	0	0	1	1	1	0	1	0	0	1	0
PSCT_00053	1	0	0	0	1	0	0	0	1	1	1	0	1	0	0	1	0
PSCT_00054	1	0	0	0	1	0	0	0	1	1	1	0	1	0	0	1	0
PSCT_00055	1	0	0	0	1	0	0	0	1	1	1	0	1	0	0	1	0
PSCT_00056	1	0	0	0	1	0	0	0	1	1	1	0	1	0	0	1	0
PSCT_00057	1	0	1	1	0	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00058	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00059	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00060	1	0	1	0	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00061	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00062	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00063	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00064	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00065	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00066	2	0	2	2	2	2	2	0	2	2	2	0	2	0	2	2	1
PSCT_00067	1	0	0	0	1	0	1	0	1	1	1	0	1	0	0	1	0
PSCT_00068	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0
PSCT_00069	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0
PSCT_00070	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00071	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00072	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0
PSCT_00073	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00074	1	0	1	0	1	1	1	0	1	1	1	0	1	0	0	1	0
PSCT_00075	1	0	0	1	1	0	1	0	1	1	1	0	1	0	1	1	0
PSCT_00076	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0
PSCT_00077	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0
PSCT_00078	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0
PSCT_00079	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0
PSCT_00080	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00081	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00082	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00083	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00084	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00085	1	0	0	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00086	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00087	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00088	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00089	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00090	1	0	0	0	1	0	1	0	1	1	1	0	1	0	0	1	0
PSCT_00091	1	0	0	0	1	0	1	0	1	1	1	0	1	0	0	1	0
PSCT_00092	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0
PSCT_00093	1	0	0	0	0	0	1	0	1	1	0	0	1	0	0	1	0
PSCT_00094	1	0	0	1	1	0	1	0	1	1	1	0	1	0	0	1	0
PSCT_00095	1	0	0	1	1	0	1	0	1	1	1	0	1	0	0	1	0
PSCT_00096	1	0	0	0	1	0	0	0	1	1	1	0	1	0	0	1	0
PSCT_00097	1	0	1	0	1	1	1	0	1	1	1	0	1	0	1	1	0
PSCT_00098	1	0	0	0	1	0	1	0	1	1	1	0	1	0	0	1	0
PSCT_00099	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0
PSCT_00100	1	0	0	1	1	0	1	0	1	1	1	0	1	0	1	1	0
PSCT_00101	1	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0
PSCT_00102	1	0	0	1	1	0	1	0	1	1	1	0	1	0	0	1	1
PSCT_00103	1	0	0	1	1	1	1	0	1	1	1	0	1	0	0	1	0
PSCT_00104	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PSCT_00105	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PSCT_00106	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PSCT_00107	1	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0
PSCT_00108	1	0	1	0	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00109	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0
PSCT_00110	1	0	0	0	1	0	1	0	1	1	1	0	1	0	1	1	0
PSCT_00111	1	0	1	0	1	0	1	0	1	1	1	0	1	0	1	1	0
PSCT_00112	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
PSCT_00113	1	0	0	0	1	0	1	0	1	1	1	0	1	0	1	1	0
PSCT_00114	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0
PSCT_00115	1	0	0	0	1	0	1	0	1	1	1	0	1	0	1	1	0
PSCT_00116	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0
PSCT_00117	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0
PSCT_00118	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0
PSCT_00119	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0
PSCT_00120	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0
PSCT_00121	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1	0
PSCT_00122	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00123	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00124	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0
PSCT_00125	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0
PSCT_00126	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0
PSCT_00127	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
PSCT_00128	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
PSCT_00129	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0
PSCT_00130	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0
PSCT_00131	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00132	1	0	1	0	1	1	1	0	1	1	1	0	1	0	1	1	0
PSCT_00133	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00134	1	0	1	0	1	0	1	0	1	1	1	0	1	0	1	1	0
PSCT_00135	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0
PSCT_00136	1	0	1	0	1	1	1	0	1	1	0	0	1	0	0	1	0
PSCT_00137	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00138	0	0	1	0	1	1	1	0	1	1	1	0	1	0	1	1	0
PSCT_00139	1	0	0	0	1	0	1	0	1	1	1	0	1	0	0	1	0
PSCT_00140	1	0	0	0	1	0	1	0	1	1	1	0	1	0	1	1	0
PSCT_00141	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00142	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0
PSCT_00143	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00144	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00145	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00146	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0
PSCT_00147	1	0	1	0	1	1	1	0	1	1	1	0	1	0	1	1	0
PSCT_00148	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0
PSCT_00149	1	0	0	1	1	0	1	0	1	1	1	0	1	0	0	1	0
PSCT_00150	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	1	1
PSCT_00151	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	1	1
PSCT_00152	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	1	1
PSCT_00153	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	1	1
PSCT_00154	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	1	1
PSCT_00155	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0
PSCT_00156	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0
PSCT_00157	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0
PSCT_00158	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	1	1
PSCT_00159	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	1
PSCT_00160	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	1	1
PSCT_00161	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0
PSCT_00162	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0
PSCT_00163	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0
PSCT_00164	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0
PSCT_00165	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0
PSCT_00166	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0
PSCT_00167	1	0	0	1	1	0	1	0	1	1	1	0	1	0	0	1	0
PSCT_00168	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0
PSCT_00169	1	0	0	1	1	1	1	0	1	1	1	0	1	0	1	1	0
PSCT_00170	1	0	0	1	1	1	1	0	1	1	1	0	1	0	1	1	0
PSCT_00171	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0
PSCT_00172	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0
PSCT_00173	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0
PSCT_00174	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0
PSCT_00175	0	0	1	0	0	1	1	0	0	1	0	0	1	0	0	0	0
PSCT_00176	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0
PSCT_00177	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0
PSCT_00178	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0
PSCT_00179	1	0	0	0	1	0	1	0	1	1	1	0	1	0	0	1	0
PSCT_00180	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
PSCT_00181	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0
PSCT_00182	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0
PSCT_00183	1	0	2	3	2	2	3	0	0	3	3	0	3	0	1	3	0
PSCT_00184	0	0	0	0	1	0	1	0	0	1	1	0	1	0	1	1	1
PSCT_00185	0	0	1	1	1	1	1	0	0	1	1	0	1	0	1	1	1
PSCT_00186	0	0	1	1	1	1	1	0	0	1	1	0	1	0	1	1	1
PSCT_00187	0	0	1	1	1	1	1	0	0	1	1	0	1	0	1	1	1
PSCT_00188	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0
PSCT_00189	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
PSCT_00190	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0
PSCT_00191	0	0	1	1	1	1	1	0	0	1	1	0	1	0	1	1	1
PSCT_00192	0	0	1	1	1	1	1	0	0	1	1	0	1	0	1	1	1
PSCT_00193	0	0	1	1	1	1	1	0	0	1	1	0	1	0	1	1	1
PSCT_00194	0	0	0	0	1	0	1	0	0	1	1	0	1	0	0	1	0
PSCT_00195	1	0	0	0	1	0	1	0	1	1	1	0	1	0	0	1	0
PSCT_00196	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00197	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00198	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00199	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00200	1	0	1	1	1	1	1	0	1	1	0	0	1	0	1	1	0
PSCT_00201	1	0	0	0	1	0	0	0	1	1	1	0	1	0	0	0	0
PSCT_00202	1	0	0	0	1	0	1	0	1	1	1	0	1	0	0	1	0
PSCT_00203	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0
PSCT_00204	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
PSCT_00205	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0
PSCT_00206	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
PSCT_00207	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PSCT_00208	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PSCT_00209	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0
PSCT_00210	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PSCT_00211	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0
PSCT_00213	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00214	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00215	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0
PSCT_00216	1	0	0	1	1	0	1	0	1	1	1	0	1	0	0	1	0
PSCT_00217	1	0	0	0	1	0	1	0	1	1	1	0	1	0	0	1	0
PSCT_00218	1	0	0	0	1	0	1	0	1	1	1	0	1	0	0	1	0
PSCT_00219	1	0	0	0	1	0	1	0	1	1	1	0	1	0	0	1	0
PSCT_00220	1	0	0	0	1	0	1	0	1	1	1	0	1	0	0	1	0
PSCT_00221	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00222	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00223	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0
PSCT_00224	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00225	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00226	1	0	0	1	1	0	1	0	1	1	1	0	1	0	0	1	0
PSCT_00227	1	0	0	0	1	0	1	0	1	1	1	0	1	0	0	1	0
PSCT_00228	1	0	0	0	1	0	1	0	1	1	1	0	1	0	1	1	0
PSCT_00229	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00230	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0
PSCT_00231	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00232	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00233	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0
PSCT_00234	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00235	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00236	1	0	0	0	1	0	1	0	1	1	1	0	1	0	0	1	0
PSCT_00237	1	0	0	0	1	1	1	0	1	1	1	0	1	0	0	1	0
PSCT_00238	1	0	0	0	1	0	1	0	1	1	1	0	1	0	0	1	0
PSCT_00239	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0
PSCT_00240	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00241	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00242	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00243	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00244	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0
PSCT_00245	1	0	0	0	1	0	1	0	1	1	1	0	1	0	1	1	0
PSCT_00246	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0
PSCT_00247	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0
PSCT_00248	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00249	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00250	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00251	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0
PSCT_00252	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00253	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00254	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0
PSCT_00255	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00256	1	0	0	0	1	0	1	0	1	1	1	0	1	0	0	1	0
PSCT_00257	1	0	1	0	1	1	1	0	1	1	1	0	1	0	1	1	0
PSCT_00258	1	0	0	0	1	0	1	0	1	1	1	0	1	0	0	1	0
PSCT_00259	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0
PSCT_00260	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00261	1	0	0	0	1	0	1	0	1	1	1	0	1	0	1	1	0
PSCT_00262	1	0	0	0	1	0	1	0	1	1	1	0	1	0	0	1	0
PSCT_00263	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00264	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00265	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00266	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00267	1	0	0	1	1	1	1	0	1	1	1	0	1	0	0	0	0
PSCT_00268	0	0	0	1	1	0	1	0	1	1	1	0	1	0	0	0	0
PSCT_00269	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0
PSCT_00270	0	0	0	0	1	0	1	0	1	1	1	0	1	0	0	1	0
PSCT_00271	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0
PSCT_00272	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00273	1	0	1	1	1	1	0	0	1	1	1	0	1	0	1	1	0
PSCT_00274	1	0	1	1	1	1	1	0	1	1	1	0	1	0	0	1	1
PSCT_00275	1	0	1	1	1	1	1	0	1	1	1	0	1	0	0	1	0
PSCT_00276	1	0	1	1	1	1	1	0	1	1	1	0	1	0	0	1	1
PSCT_00277	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00278	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0
PSCT_00279	1	0	0	0	1	0	1	0	1	1	1	0	1	0	0	1	0
PSCT_00280	1	0	1	1	1	1	1	0	1	1	1	0	1	0	0	1	0
PSCT_00281	1	0	0	1	1	1	1	0	1	1	1	0	1	0	0	1	0
PSCT_00282	1	0	1	1	1	1	1	0	1	1	1	0	1	0	0	1	0
PSCT_00283	1	0	0	0	1	0	1	0	1	1	1	0	1	0	0	1	0
PSCT_00284	1	0	1	1	0	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00285	1	0	0	0	1	0	1	0	1	1	1	0	1	0	0	1	0
PSCT_00286	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00287	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00288	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0
PSCT_00289	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00290	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00291	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00292	1	0	1	1	1	1	1	0	1	1	1	0	1	0	0	1	0
PSCT_00293	1	0	1	0	1	1	1	0	1	1	1	0	1	0	0	1	0
PSCT_00294	1	0	0	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00295	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0
PSCT_00296	1	0	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0
PSCT_00297	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0
PSCT_00298	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00299	1	0	0	0	1	0	1	0	1	1	1	0	1	0	0	1	0
PSCT_00300	1	0	1	0	1	1	1	0	1	1	1	0	1	0	0	1	0
PSCT_00301	1	0	0	0	1	0	1	0	1	1	1	0	1	0	0	1	0
PSCT_00302	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00303	1	0	0	0	1	1	1	0	1	1	1	0	1	0	0	1	1
PSCT_00304	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00305	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0
PSCT_00306	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00307	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00308	1	0	0	1	1	0	1	0	1	1	1	0	1	0	1	1	1
PSCT_00309	1	0	0	1	1	0	1	0	1	1	1	0	1	0	1	1	0
PSCT_00310	1	0	0	1	1	0	1	0	1	1	1	0	1	0	0	1	0
PSCT_00311	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00312	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00313	1	0	0	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00314	1	0	0	0	0	0	1	0	1	1	1	0	1	0	0	1	0
PSCT_00315	1	0	0	1	1	1	1	0	1	1	1	0	1	0	1	1	0
PSCT_00316	1	0	0	0	1	0	1	0	1	1	0	0	1	0	0	1	0
PSCT_00317	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00318	1	0	0	0	1	0	1	0	1	1	1	0	1	0	0	1	0
PSCT_00319	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0
PSCT_00320	1	0	0	1	1	1	1	0	1	1	1	0	1	0	1	1	0
PSCT_00321	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
PSCT_00322	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0
PSCT_00323	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1
