	GCF_000267545.1_ASM26754v1_genomic.fna	GCF_001648195.1_ASM164819v1_genomic.fna	GCF_000590475.1_ASM59047v1_genomic.fna	GCF_000195105.1_ASM19510v1_genomic.fna	GCF_000818015.1_ASM81801v1_genomic.fna	GCF_000661915.1_ASM66191v1_genomic.fna	GCF_001038645.1_ASM103864v1_genomic.fna	GCF_000327065.1_ASM32706v1_genomic.fna	GCF_000279165.1_ASM27916v1_genomic.fna	GCF_000013785.1_ASM1378v1_genomic.fna	GCF_000016565.1_ASM1656v1_genomic.fna	GCF_000219605.1_ASM21960v1_genomic.fna	SAMD00059319_PSCT_BDJA01_FF.fna
PSCT_00026	0.08	0.48	0.09	0.08	0.55	0.08	0.08	0.23	0.10	0.70	0.08	0.47	1.00
PSCT_00027	0.06	0.06	0.06	0.06	0.06	0.16	0.06	0.06	0.06	1.00	0.06	1.00	1.00
PSCT_00028	0.00	0.00	0.00	0.00	0.04	0.05	0.00	0.06	0.00	0.99	0.00	1.00	1.00
PSCT_00029	0.90	0.32	0.04	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.03	0.05	1.00
PSCT_00030	0.82	0.27	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	1.00
PSCT_00031	0.89	0.57	0.31	0.04	0.00	0.03	0.04	0.03	0.04	0.04	0.03	0.31	1.00
PSCT_00032	0.91	0.54	0.21	0.00	0.00	0.00	0.05	0.00	0.04	0.00	0.02	0.22	1.00
PSCT_00033	0.89	0.49	0.22	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.21	1.00
PSCT_00034	0.96	0.93	0.93	0.96	0.91	0.96	0.96	1.00	0.91	0.96	0.87	0.96	1.00
PSCT_00035	0.95	0.91	0.90	0.98	0.90	0.99	0.98	1.00	0.91	0.98	0.81	0.98	1.00
PSCT_00036	0.96	0.86	0.86	0.95	0.88	0.99	0.95	1.00	0.85	0.95	0.84	0.95	1.00
PSCT_00037	1.00	0.95	0.85	0.98	0.99	1.00	0.98	1.00	0.97	0.98	0.86	0.98	1.00
PSCT_00038	1.00	0.96	0.94	0.99	0.98	1.00	0.99	1.00	0.92	0.99	0.95	0.99	1.00
PSCT_00039	0.99	0.89	0.83	0.99	0.94	0.99	0.99	1.00	0.96	0.99	0.85	0.98	1.00
PSCT_00040	1.00	0.95	0.93	0.99	0.98	1.00	0.99	1.00	0.98	0.99	0.94	0.99	1.00
PSCT_00041	0.98	0.81	0.49	0.98	0.92	1.00	0.98	1.00	0.93	0.98	0.64	0.97	1.00
PSCT_00042	0.98	0.89	0.64	0.98	0.97	0.99	0.98	0.99	0.98	0.98	0.79	0.92	0.99
PSCT_00043	1.00	0.99	0.66	1.00	0.99	1.00	1.00	1.00	1.00	1.00	0.98	0.92	1.00
PSCT_00044	0.99	0.94	0.54	0.97	0.95	1.00	0.96	1.00	0.96	0.97	0.80	0.89	1.00
PSCT_00045	0.99	0.81	0.52	0.99	0.86	0.99	0.99	1.00	0.86	0.97	0.60	0.92	1.00
PSCT_00046	0.99	0.87	0.87	0.97	0.91	1.00	0.97	1.00	0.90	0.97	0.87	0.97	1.00
PSCT_00047	0.99	0.97	0.95	1.00	0.94	1.00	0.99	1.00	0.97	1.00	0.87	1.00	1.00
PSCT_00048	0.93	0.77	0.79	0.93	0.80	0.97	0.92	1.00	0.85	0.92	0.84	0.93	1.00
PSCT_00049	0.98	0.90	0.91	0.96	0.94	0.99	0.96	1.00	0.91	0.96	0.90	0.96	1.00
PSCT_00050	0.16	0.16	0.16	0.67	0.16	0.95	0.67	0.98	0.00	0.67	0.17	0.67	1.00
PSCT_00051	0.24	0.23	0.23	0.94	0.23	1.00	0.94	1.00	0.22	0.94	0.30	0.94	1.00
PSCT_00052	0.31	0.29	0.28	0.86	0.31	1.00	0.86	1.00	0.31	0.86	0.32	0.86	1.00
PSCT_00053	0.28	0.29	0.28	0.93	0.29	0.98	0.78	0.99	0.30	0.93	0.44	0.93	1.00
PSCT_00054	0.39	0.38	0.38	0.88	0.36	0.99	0.87	1.00	0.37	0.88	0.39	0.88	1.00
PSCT_00055	0.31	0.31	0.31	0.89	0.31	0.99	0.89	0.98	0.30	0.90	0.38	0.89	1.00
PSCT_00056	0.30	0.31	0.30	0.92	0.29	0.99	0.93	1.00	0.30	0.92	0.34	0.92	1.00
PSCT_00057	0.93	0.83	0.84	0.95	0.84	1.00	0.51	1.00	0.87	0.95	0.83	0.95	1.00
PSCT_00058	0.95	0.86	0.85	0.96	0.86	0.99	0.96	1.00	0.90	0.97	0.80	0.97	1.00
PSCT_00059	0.97	0.84	0.86	0.95	0.88	0.98	0.95	1.00	0.86	0.95	0.82	0.95	1.00
PSCT_00060	0.97	0.77	0.80	0.97	0.72	0.99	0.97	0.99	0.87	0.97	0.76	0.97	0.99
PSCT_00061	0.71	0.94	0.94	1.00	1.00	1.00	1.00	1.00	0.95	1.00	0.97	1.00	1.00
PSCT_00062	0.98	0.90	0.91	0.95	0.90	0.96	0.95	1.00	0.91	0.95	0.88	0.95	1.00
PSCT_00063	0.99	0.94	0.94	0.99	0.94	1.00	0.99	1.00	0.94	0.99	0.90	0.99	1.00
PSCT_00064	0.95	0.85	0.85	0.95	0.77	0.95	0.95	1.00	0.83	0.95	0.80	0.95	1.00
PSCT_00065	0.98	0.95	0.95	0.97	0.92	1.00	0.97	1.00	0.93	0.97	0.90	0.97	1.00
PSCT_00066	0.98	0.87	0.86	0.98	0.89	0.98	0.98	1.00	0.92	0.97	0.83	0.98	1.00
PSCT_00067	0.93	0.14	0.15	0.93	0.73	0.97	0.93	1.00	0.74	0.93	0.13	0.93	1.00
PSCT_00068	0.97	0.83	0.83	0.94	0.82	0.97	0.95	1.00	0.89	0.95	0.76	0.94	1.00
PSCT_00069	0.98	0.85	0.87	0.97	0.89	0.99	0.97	1.00	0.90	0.97	0.60	0.97	1.00
PSCT_00070	0.99	0.90	0.89	0.97	0.97	0.99	0.97	1.00	0.91	0.97	0.82	0.97	1.00
PSCT_00071	1.00	0.96	0.95	1.00	0.99	1.00	1.00	1.00	0.96	1.00	0.92	1.00	1.00
PSCT_00072	0.91	0.82	0.83	0.92	0.86	0.96	0.92	1.00	0.81	0.92	0.72	0.92	1.00
PSCT_00073	0.96	0.85	0.87	0.96	0.87	0.97	0.96	1.00	0.83	0.96	0.82	0.96	1.00
PSCT_00074	0.91	0.79	0.79	0.96	0.74	0.96	0.95	1.00	0.75	0.95	0.67	0.95	1.00
PSCT_00075	1.00	0.72	0.69	0.95	0.81	0.97	0.95	1.00	0.76	0.95	0.69	0.95	1.00
PSCT_00076	0.98	0.78	0.80	0.89	0.85	0.91	0.89	1.00	0.83	0.89	0.47	0.89	1.00
PSCT_00077	0.99	0.90	0.89	0.98	0.91	0.99	0.98	1.00	0.88	0.98	0.31	0.98	1.00
PSCT_00078	0.98	0.88	0.81	0.95	0.89	0.99	0.95	1.00	0.89	0.95	0.33	0.95	1.00
PSCT_00079	0.98	0.79	0.77	0.93	0.87	0.97	0.92	1.00	0.84	0.93	0.11	0.93	1.00
PSCT_00080	0.97	0.95	0.95	0.99	0.95	0.99	0.99	1.00	0.94	0.99	0.91	0.99	1.00
PSCT_00081	0.96	0.85	0.86	0.92	0.84	0.97	0.91	0.99	0.86	0.92	0.75	0.92	1.00
PSCT_00082	0.92	0.82	0.82	0.91	0.83	0.93	0.91	0.98	0.83	0.91	0.81	0.91	1.00
PSCT_00083	1.00	0.95	0.95	0.98	0.97	1.00	0.98	1.00	0.95	0.98	0.96	0.98	1.00
PSCT_00084	0.96	0.89	0.88	0.98	0.88	0.99	0.98	1.00	0.91	0.98	0.84	0.98	1.00
PSCT_00085	0.93	0.79	0.53	0.89	0.79	0.92	0.89	0.98	0.82	0.88	0.76	0.88	1.00
PSCT_00086	0.97	0.87	0.88	0.97	0.83	0.97	0.97	0.99	0.89	0.97	0.80	0.97	1.00
PSCT_00087	0.97	0.86	0.89	0.94	0.85	0.98	0.94	0.98	0.89	0.94	0.75	0.94	1.00
PSCT_00088	0.99	0.93	0.91	0.96	0.89	0.99	0.95	0.99	0.92	0.96	0.86	0.95	1.00
PSCT_00089	0.91	0.79	0.82	0.87	0.77	0.90	0.88	0.98	0.76	0.87	0.76	0.87	1.00
PSCT_00090	0.94	0.59	0.62	0.88	0.59	0.92	0.88	1.00	0.58	0.88	0.00	0.87	1.00
PSCT_00091	0.95	0.68	0.69	0.89	0.71	0.93	0.89	1.00	0.67	0.89	0.18	0.89	1.00
PSCT_00092	0.96	0.80	0.77	0.96	0.78	0.97	0.95	1.00	0.78	0.96	0.68	0.95	1.00
PSCT_00093	0.74	0.35	0.34	0.85	0.48	0.73	0.64	0.80	0.12	0.85	0.13	0.69	1.00
PSCT_00094	0.98	0.05	0.06	0.97	0.92	0.98	0.94	0.99	0.06	0.97	0.07	0.94	1.00
PSCT_00095	0.90	0.00	0.00	0.86	0.86	0.93	0.85	0.97	0.52	0.86	0.08	0.86	1.00
PSCT_00096	0.00	0.10	0.03	0.90	0.00	0.97	0.90	0.98	0.03	0.89	0.03	0.90	1.00
PSCT_00097	0.94	0.91	0.91	0.95	0.00	0.98	0.96	1.00	0.90	0.95	0.00	0.95	1.00
PSCT_00098	0.77	0.56	0.00	0.76	0.56	0.90	0.76	0.98	0.00	0.75	0.45	0.76	1.00
PSCT_00099	0.98	0.91	0.90	0.98	0.97	0.98	0.98	0.99	0.88	0.98	0.06	0.98	1.00
PSCT_00100	0.94	0.72	0.75	0.85	0.81	0.86	0.85	0.98	0.76	0.85	0.32	0.85	1.00
PSCT_00101	0.85	0.70	0.73	0.86	0.00	0.83	0.85	0.98	0.00	0.57	0.00	0.70	1.00
PSCT_00102	0.92	0.30	0.72	0.95	0.88	0.91	0.95	0.97	0.71	0.95	0.83	0.95	1.00
PSCT_00103	0.90	0.77	0.75	0.97	0.78	0.94	0.96	0.97	0.24	0.97	0.00	0.95	1.00
PSCT_00104	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
PSCT_00105	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.00	0.00	0.00	1.00
PSCT_00106	0.16	0.16	0.16	0.16	0.16	0.16	0.16	0.16	0.14	0.16	0.14	0.16	1.00
PSCT_00107	0.09	0.87	0.08	0.95	0.08	0.09	0.09	1.00	0.08	0.95	0.72	0.09	1.00
PSCT_00108	0.98	0.95	0.94	0.99	0.27	0.98	0.99	0.99	0.98	0.98	0.91	0.99	1.00
PSCT_00109	0.00	0.00	0.11	0.00	0.00	0.98	0.00	0.98	0.10	0.00	0.00	0.00	1.00
PSCT_00110	0.88	0.63	0.42	0.90	0.57	0.88	0.89	0.93	0.86	0.90	0.22	0.90	1.00
PSCT_00111	0.97	0.12	0.86	0.95	0.00	0.97	0.95	0.97	0.94	0.95	0.12	0.95	0.99
PSCT_00112	0.06	0.07	0.00	0.06	0.07	0.06	0.06	0.97	0.00	0.00	0.07	0.06	1.00
PSCT_00113	0.91	0.67	0.71	0.93	0.74	0.92	0.92	0.98	0.86	0.93	0.10	0.91	1.00
PSCT_00114	0.88	0.14	0.13	0.69	0.17	0.83	0.69	0.98	0.15	0.69	0.13	0.68	1.00
PSCT_00115	0.82	0.59	0.63	0.80	0.65	0.84	0.81	1.00	0.81	0.81	0.06	0.81	1.00
PSCT_00116	0.98	0.96	0.95	0.93	0.92	0.98	0.94	0.98	0.92	0.93	0.29	0.93	1.00
PSCT_00117	0.97	0.21	0.00	0.19	0.96	0.99	0.33	0.31	0.32	0.00	0.28	0.00	1.00
PSCT_00118	0.99	0.00	0.09	0.09	0.97	0.99	0.14	0.15	0.16	0.10	0.09	0.00	1.00
PSCT_00119	0.96	0.00	0.10	0.12	0.93	1.00	0.13	0.99	0.00	0.12	0.41	0.13	1.00
PSCT_00120	0.94	0.57	0.55	0.41	0.94	0.93	0.41	0.98	0.37	0.41	0.69	0.41	0.99
PSCT_00121	0.93	0.00	0.76	0.13	0.00	0.94	0.14	0.97	0.00	0.13	0.13	0.13	1.00
PSCT_00122	0.95	0.89	0.87	0.87	0.96	0.97	0.87	1.00	0.85	0.87	0.87	0.87	1.00
PSCT_00123	0.97	0.88	0.87	0.89	0.98	0.99	0.89	0.99	0.87	0.89	0.95	0.89	1.00
PSCT_00124	0.92	0.80	0.78	0.90	0.84	0.93	0.90	0.99	0.82	0.90	0.73	0.89	1.00
PSCT_00125	0.04	0.86	0.81	0.04	0.04	0.04	0.04	1.00	0.04	0.04	0.14	0.04	1.00
PSCT_00126	0.81	0.11	0.00	0.73	0.00	0.00	0.72	0.98	0.00	0.73	0.10	0.72	1.00
PSCT_00127	0.27	0.23	0.24	0.29	0.56	0.54	0.29	0.99	0.56	0.26	0.28	0.27	1.00
PSCT_00128	0.27	0.25	0.66	0.27	0.57	0.58	0.27	0.99	0.58	0.27	0.25	0.27	1.00
PSCT_00129	0.94	0.85	0.85	0.95	0.84	0.97	0.95	0.98	0.87	0.95	0.73	0.95	1.00
PSCT_00130	0.99	0.82	0.83	0.99	0.90	0.99	0.99	0.99	0.88	0.99	0.72	0.98	1.00
PSCT_00131	0.97	0.89	0.90	0.97	0.90	0.95	0.97	0.99	0.89	0.96	0.80	0.96	1.00
PSCT_00132	0.97	0.88	0.90	0.94	0.74	0.97	0.94	0.98	0.91	0.93	0.69	0.94	1.00
PSCT_00133	0.97	0.87	0.91	0.93	0.82	0.99	0.93	0.99	0.90	0.93	0.76	0.93	1.00
PSCT_00134	0.93	0.74	0.80	0.86	0.69	0.92	0.88	0.97	0.84	0.86	0.00	0.88	1.00
PSCT_00135	0.97	0.97	0.96	0.99	0.88	0.99	0.99	1.00	0.87	0.99	0.76	0.99	1.00
PSCT_00136	0.97	0.84	0.82	0.86	0.07	1.00	0.87	1.00	0.07	0.95	0.15	0.45	1.00
PSCT_00137	0.98	0.87	0.87	0.97	0.91	0.97	0.97	0.99	0.94	0.98	0.82	0.97	1.00
PSCT_00138	0.91	0.79	0.74	0.76	0.68	0.96	0.78	0.99	0.76	0.91	0.49	0.77	1.00
PSCT_00139	0.89	0.69	0.66	0.87	0.58	0.96	0.87	0.99	0.75	0.90	0.35	0.87	1.00
PSCT_00140	0.86	0.63	0.66	0.83	0.68	0.90	0.83	0.97	0.77	0.85	0.59	0.83	1.00
PSCT_00141	0.98	0.88	0.88	0.99	0.96	0.98	0.99	1.00	0.98	0.99	0.79	0.99	1.00
PSCT_00142	0.96	0.77	0.77	0.85	0.86	0.99	0.85	0.99	0.75	0.94	0.56	0.85	1.00
PSCT_00143	0.98	0.85	0.84	0.98	0.84	0.99	0.98	1.00	0.80	0.98	0.79	0.98	1.00
PSCT_00144	0.97	0.87	0.89	0.98	0.93	0.99	0.98	1.00	0.85	0.98	0.87	0.98	1.00
PSCT_00145	0.98	0.85	0.83	0.99	0.91	0.98	1.00	1.00	0.89	0.97	0.88	0.99	1.00
PSCT_00146	0.81	0.66	0.67	0.69	0.00	0.79	0.71	0.99	0.00	0.69	0.00	0.70	1.00
PSCT_00147	0.96	0.80	0.80	0.84	0.77	0.97	0.86	0.98	0.77	0.96	0.38	0.84	1.00
PSCT_00148	0.92	0.70	0.07	0.06	0.06	0.95	0.00	0.97	0.00	0.00	0.71	0.00	1.00
PSCT_00149	0.93	0.71	0.62	0.80	0.75	0.92	0.80	0.99	0.56	0.79	0.64	0.80	1.00
PSCT_00150	0.98	0.80	0.05	0.00	0.00	0.98	0.00	0.99	0.05	0.05	0.79	0.00	1.00
PSCT_00151	1.00	0.80	0.22	0.23	0.22	0.98	0.23	1.00	0.24	0.23	0.82	0.23	1.00
PSCT_00152	0.98	0.88	0.28	0.28	0.30	0.98	0.28	1.00	0.29	0.28	0.91	0.28	1.00
PSCT_00153	0.98	0.87	0.00	0.00	0.00	0.98	0.00	0.99	0.00	0.00	0.85	0.00	1.00
PSCT_00154	0.96	0.79	0.00	0.00	0.00	0.98	0.00	0.99	0.00	0.00	0.81	0.00	1.00
PSCT_00155	0.95	0.66	0.00	0.00	0.72	0.93	0.00	1.00	0.00	0.00	0.58	0.07	1.00
PSCT_00156	0.98	0.68	0.00	0.00	0.11	0.98	0.00	1.00	0.11	0.00	0.68	0.11	1.00
PSCT_00157	0.96	0.65	0.20	0.22	0.22	0.98	0.14	1.00	0.13	0.09	0.69	0.09	1.00
PSCT_00158	0.95	0.86	0.29	0.30	0.34	0.99	0.30	1.00	0.29	0.30	0.87	0.30	1.00
PSCT_00159	0.97	0.77	0.14	0.13	0.14	0.98	0.13	1.00	0.13	0.13	0.80	0.13	1.00
PSCT_00160	0.99	0.82	0.27	0.26	0.31	0.99	0.27	1.00	0.27	0.27	0.75	0.27	1.00
PSCT_00161	0.97	0.88	0.85	0.97	0.95	0.98	0.97	1.00	0.87	0.97	0.26	0.97	1.00
PSCT_00162	0.98	0.99	0.98	0.99	0.99	1.00	0.99	1.00	0.95	0.99	0.00	0.99	1.00
PSCT_00163	0.82	0.84	0.85	0.93	0.92	0.94	0.93	0.89	0.84	0.89	0.07	0.93	1.00
PSCT_00164	0.98	0.96	0.96	0.96	0.96	0.96	0.96	1.00	0.95	0.95	0.15	0.96	1.00
PSCT_00165	0.98	0.96	0.92	0.99	0.98	0.99	0.99	0.98	0.91	0.98	0.14	0.99	1.00
PSCT_00166	0.95	0.93	0.90	0.96	0.95	0.95	0.94	0.95	0.91	0.96	0.07	0.95	1.00
PSCT_00167	0.88	0.63	0.59	0.93	0.88	0.85	0.91	0.86	0.62	0.93	0.08	0.94	1.00
PSCT_00168	0.90	0.88	0.81	0.93	0.88	0.92	0.93	0.89	0.85	0.93	0.28	0.93	1.00
PSCT_00169	0.83	0.83	0.00	0.92	0.85	0.99	0.93	0.98	0.77	0.92	0.00	0.89	1.00
PSCT_00170	0.97	0.95	0.07	0.99	0.96	0.99	0.99	1.00	0.96	0.99	0.07	0.97	1.00
PSCT_00171	0.98	0.86	0.85	0.95	0.94	0.98	0.94	0.99	0.90	0.95	0.22	0.95	1.00
PSCT_00172	0.99	0.94	0.85	0.97	0.94	0.99	0.97	0.99	0.87	0.97	0.10	0.97	1.00
PSCT_00173	0.92	0.70	0.40	0.08	0.09	0.08	0.08	0.95	0.08	0.08	0.08	0.08	1.00
PSCT_00174	0.98	0.65	0.63	0.11	0.11	0.11	0.11	0.98	0.11	0.11	0.16	0.11	1.00
PSCT_00175	0.98	0.81	0.80	0.18	0.16	0.17	0.16	0.98	0.16	0.17	0.16	0.16	1.00
PSCT_00176	0.95	0.72	0.73	0.00	0.00	0.00	0.00	0.98	0.00	0.00	0.40	0.00	1.00
PSCT_00177	0.88	0.53	0.61	0.00	0.07	0.00	0.00	0.92	0.07	0.06	0.11	0.00	1.00
PSCT_00178	0.95	0.64	0.66	0.11	0.13	0.11	0.12	0.98	0.00	0.11	0.00	0.11	1.00
PSCT_00179	0.88	0.64	0.63	0.84	0.52	0.89	0.84	0.93	0.61	0.84	0.00	0.84	1.00
PSCT_00180	0.75	0.00	0.00	0.00	0.00	0.71	0.74	1.00	0.00	0.00	0.66	0.43	1.00
PSCT_00181	0.16	0.05	0.05	0.05	0.05	0.88	0.19	0.99	0.17	0.05	0.07	0.88	1.00
PSCT_00182	0.13	0.00	0.11	0.00	0.13	0.87	0.14	0.96	0.07	0.00	0.10	0.86	1.00
PSCT_00183	0.89	0.82	0.81	0.78	0.80	0.96	0.84	0.96	0.76	0.00	0.74	0.94	1.00
PSCT_00184	0.99	0.70	0.70	0.27	0.71	0.99	0.98	0.99	0.81	0.27	0.77	0.99	1.00
PSCT_00185	0.95	0.86	0.85	0.32	0.85	0.96	0.95	0.98	0.85	0.32	0.86	0.95	1.00
PSCT_00186	0.97	0.83	0.80	0.00	0.80	0.97	0.97	0.97	0.85	0.00	0.80	0.83	1.00
PSCT_00187	0.99	0.86	0.86	0.00	0.84	0.99	0.98	0.99	0.88	0.00	0.87	0.98	1.00
PSCT_00188	0.88	0.00	0.12	0.00	0.57	0.51	0.00	0.96	0.00	0.00	0.12	0.90	1.00
PSCT_00189	0.67	0.31	0.30	0.07	0.73	0.67	0.73	0.72	0.49	0.07	0.00	0.80	1.00
PSCT_00190	0.72	0.19	0.18	0.11	0.70	0.14	0.14	0.75	0.41	0.00	0.13	0.92	1.00
PSCT_00191	0.99	0.91	0.90	0.00	0.89	0.99	0.98	0.99	0.88	0.00	0.91	0.99	0.99
PSCT_00192	0.99	0.96	0.96	0.00	0.97	0.99	0.99	0.99	0.97	0.00	0.95	0.99	1.00
PSCT_00193	1.00	0.95	0.95	0.00	0.98	1.00	1.00	1.00	0.93	0.00	0.97	1.00	1.00
PSCT_00194	0.94	0.73	0.71	0.00	0.74	0.96	0.96	0.98	0.71	0.00	0.76	0.96	1.00
PSCT_00195	0.81	0.65	0.68	0.94	0.65	0.85	0.94	0.96	0.75	0.93	0.57	0.92	1.00
PSCT_00196	0.97	0.92	0.94	0.99	0.95	0.99	0.99	1.00	0.94	0.99	0.81	0.99	1.00
PSCT_00197	1.00	0.94	0.94	0.98	0.96	0.98	0.98	1.00	0.94	0.98	0.84	0.98	1.00
PSCT_00198	0.98	0.92	0.92	0.99	0.95	0.97	0.99	0.99	0.95	0.99	0.83	0.99	1.00
PSCT_00199	1.00	0.95	0.93	1.00	0.98	1.00	1.00	1.00	0.97	1.00	0.92	0.99	1.00
PSCT_00200	0.99	0.95	0.94	0.83	0.81	1.00	0.83	1.00	0.88	0.83	0.31	0.51	1.00
PSCT_00201	0.58	0.59	0.58	0.79	0.56	0.56	0.80	1.00	0.33	0.80	0.13	0.80	1.00
PSCT_00202	0.78	0.64	0.00	0.80	0.00	0.83	0.81	0.98	0.59	0.81	0.10	0.81	1.00
PSCT_00203	0.00	0.00	0.00	0.00	0.88	0.91	0.00	0.00	0.00	0.00	0.00	0.00	1.00
PSCT_00204	0.00	0.00	0.00	0.00	0.95	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
PSCT_00205	0.14	0.05	0.00	0.55	0.85	0.83	0.84	0.05	0.10	0.55	0.17	0.05	1.00
PSCT_00206	0.00	0.00	0.00	0.00	0.67	0.94	0.00	0.00	0.00	0.00	0.00	0.00	1.00
PSCT_00207	0.11	0.10	0.10	0.11	0.51	0.64	0.50	0.10	0.00	0.10	0.00	0.10	1.00
PSCT_00208	0.00	0.00	0.00	0.00	0.15	0.53	0.68	0.34	0.00	0.00	0.00	0.00	1.00
PSCT_00209	0.31	0.31	0.30	0.25	0.78	0.86	0.98	0.30	0.00	0.31	0.25	0.29	1.00
PSCT_00210	0.00	0.06	0.07	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00	1.00
PSCT_00211	0.35	0.35	0.12	0.32	0.92	0.97	0.96	0.43	0.41	0.43	0.37	0.36	1.00
PSCT_00213	0.99	0.91	0.91	0.99	0.91	0.97	1.00	0.99	0.92	0.99	0.84	0.99	1.00
PSCT_00214	0.95	0.91	0.90	0.95	0.87	0.98	0.95	1.00	0.88	0.96	0.80	0.95	1.00
PSCT_00215	0.95	0.82	0.80	0.93	0.77	0.97	0.92	1.00	0.79	0.91	0.68	0.92	1.00
PSCT_00216	0.97	0.74	0.73	0.95	0.76	0.95	0.95	0.97	0.70	0.95	0.13	0.95	1.00
PSCT_00217	1.00	0.69	0.68	0.98	0.41	1.00	0.98	1.00	0.36	0.98	0.64	0.98	1.00
PSCT_00218	0.98	0.26	0.26	0.98	0.23	0.99	0.98	0.99	0.20	0.98	0.40	0.98	1.00
PSCT_00219	0.98	0.29	0.28	0.98	0.27	1.00	0.98	0.99	0.00	0.98	0.34	0.98	1.00
PSCT_00220	0.98	0.10	0.06	0.90	0.10	0.97	0.90	0.98	0.09	0.90	0.06	0.90	1.00
PSCT_00221	1.00	0.93	0.93	0.98	0.98	1.00	0.97	0.99	0.94	0.98	0.94	0.97	1.00
PSCT_00222	0.99	0.93	0.93	0.98	0.99	0.99	0.98	0.99	0.95	0.98	0.93	0.98	1.00
PSCT_00223	0.99	0.95	0.96	0.99	0.99	0.99	0.99	0.98	0.95	0.98	0.71	0.99	1.00
